Date,Open_samsung,High_samsung,Low_samsung,Close_samsung,Volume_samsung,Change_samsung,Open_lg,High_lg,Low_lg,Close_lg,Volume_lg,Change_lg
2015-02-25,27600,27700,27460,27580,167485,0.008778346744696464,61300,61600,61000,61500,506278,0.004901960784313708
2015-02-26,27580,27600,27360,27500,163583,-0.0029006526468455807,61700,61800,61000,61100,504892,-0.006504065040650375
2015-02-27,27500,27520,27140,27140,260188,-0.013090909090909042,61100,62400,61000,61800,793405,0.011456628477905184
2015-03-02,27500,28460,27340,28460,436112,0.048636698599852535,62400,62500,60300,60500,933592,-0.021035598705501646
2015-03-03,28699,28740,28119,28360,274976,-0.0035137034434293835,60800,61000,60300,60600,510094,0.0016528925619834212
2015-03-04,28220,28800,28200,28740,232062,0.013399153737658764,61000,61600,60800,60900,592121,0.004950495049504955
2015-03-05,28780,28860,28340,28440,192312,-0.01043841336116913,60900,61200,60300,60600,353716,-0.0049261083743842304
2015-03-06,28280,28980,28120,28840,234670,0.014064697609001309,60700,61000,60300,60400,441051,-0.0033003300330033403
2015-03-09,28800,28800,28400,28400,156292,-0.015256588072122046,60200,60500,59900,60100,522861,-0.004966887417218513
2015-03-10,28679,28860,28400,28420,208397,0.0007042253521127861,60200,61200,60200,60200,442522,0.0016638935108153063
2015-03-11,28380,29580,28360,29480,422173,0.037297677691766395,59900,60500,59500,59900,641167,-0.004983388704318914
2015-03-12,29200,29460,28940,28940,383064,-0.01831750339213023,59600,60400,59400,59700,797220,-0.0033388981636059967
2015-03-13,29220,29580,29100,29140,188262,0.006910850034554272,60100,60400,59400,59500,446593,-0.00335008375209378
2015-03-16,29160,29740,29100,29400,179491,0.008922443376801592,59400,59900,59400,59600,356844,0.001680672268907557
2015-03-17,29399,29999,29200,29940,273223,0.01836734693877551,59800,60500,59500,60200,621637,0.010067114093959662
2015-03-18,29920,30120,29720,30060,249287,0.004008016032064132,60100,60800,59900,60100,634019,-0.0016611295681062677
2015-03-19,30200,30200,29400,29400,264516,-0.021956087824351322,60400,60500,60000,60100,683278,0.0
2015-03-20,29500,29600,29200,29280,254099,-0.004081632653061273,60200,60500,59700,59800,521738,-0.004991680532445919
2015-03-23,29240,29480,29160,29340,162458,0.002049180327868827,59800,60000,59500,60000,475628,0.0033444816053511683
2015-03-24,29099,29560,29099,29520,182263,0.006134969325153339,60000,60500,59900,60400,437945,0.006666666666666599
2015-03-25,29740,29760,29440,29700,187381,0.0060975609756097615,60400,60400,59500,59600,606380,-0.013245033112582738
2015-03-26,29000,29120,28420,28420,420119,-0.04309764309764308,59400,60000,59300,59400,416868,-0.003355704697986628
2015-03-27,28300,28960,28300,28420,321316,0.0,59500,59500,58500,58900,910118,-0.008417508417508435
2015-03-30,28500,28680,28240,28560,179110,0.0049261083743843415,58900,59400,58600,58800,388349,-0.001697792869269965
2015-03-31,28979,29040,28600,28820,196853,0.0091036414565826,59200,59500,58900,58900,458148,0.001700680272108901
2015-04-01,28740,28740,28400,28460,145321,-0.012491325468424685,59000,59100,58400,58600,446506,-0.005093378607809895
2015-04-02,28680,28799,28460,28680,138068,0.007730147575544688,58400,59000,57800,58000,764061,-0.010238907849829393
2015-04-03,28680,28799,28399,28680,125403,0.0,58000,58400,57900,58000,399085,0.0
2015-04-06,28860,29800,28700,29400,211652,0.025104602510460206,58200,58700,57700,57700,569796,-0.005172413793103403
2015-04-07,29560,29700,29240,29240,190521,-0.0054421768707483276,58000,58500,57700,58200,434270,0.008665511265164572
2015-04-08,29400,29700,29200,29580,155468,0.011627906976744207,58300,58500,57500,57600,751007,-0.010309278350515427
2015-04-09,29400,29780,29400,29660,182151,0.0027045300878971723,57900,59900,57900,59200,1022751,0.02777777777777768
2015-04-10,29600,29880,29560,29800,199202,0.00472016183411994,59200,59200,58500,59100,825376,-0.0016891891891891442
2015-04-13,29580,29819,29360,29580,205866,-0.007382550335570448,59100,59900,58800,59400,875431,0.0050761421319796
2015-04-14,29699,29699,29300,29480,188595,-0.0033806626098715764,59600,59700,59100,59700,695084,0.005050505050504972
2015-04-15,29199,29400,28539,28920,271021,-0.018995929443690662,60300,61400,60000,60000,1254594,0.005025125628140614
2015-04-16,29239,29540,28940,29540,215247,0.021438450899031736,60500,60600,59600,60300,667460,0.004999999999999893
